Id ;Time;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
144; 02:11:47.708;ALO;14; 00:01:32.474;44.0;2.0;34.096;28.971;29.407;HARD;38.0;Aston Martin;5.0
145; 02:13:20.121;ALO;14; 00:01:32.413;45.0;2.0;34.007;29.022;29.384;HARD;39.0;Aston Martin;5.0
146; 02:14:52.762;ALO;14; 00:01:32.641;46.0;2.0;34.101;29.066;29.474;HARD;40.0;Aston Martin;5.0
147; 02:16:25.341;ALO;14; 00:01:32.579;47.0;2.0;34.06;29.02;29.499;HARD;41.0;Aston Martin;5.0
148; 02:17:57.970;ALO;14; 00:01:32.629;48.0;2.0;34.035;29.132;29.462;HARD;42.0;Aston Martin;5.0
149; 02:19:30.359;ALO;14; 00:01:32.389;49.0;2.0;34.003;28.907;29.479;HARD;43.0;Aston Martin;5.0
150; 02:21:03.138;ALO;14; 00:01:32.779;50.0;2.0;34.105;29.053;29.621;HARD;44.0;Aston Martin;5.0
151; 01:01:20.806;LEC;16; 00:01:36.681;1.0;1.0;34757;29.838;29.664;MEDIUM;1.0;Ferrari;2.0
152; 01:02:54.985;LEC;16; 00:01:34.179;2.0;1.0;34.757;29.603;29.819;MEDIUM;2.0;Ferrari;2.0
153; 01:04:29.534;LEC;16; 00:01:34.549;3.0;1.0;34.851;29.856;29.842;MEDIUM;3.0;Ferrari;2.0
154; 01:06:04.747;LEC;16; 00:01:35.213;4.0;1.0;35.927;29.635;29.651;MEDIUM;4.0;Ferrari;3.0
155; 01:07:39.129;LEC;16; 00:01:34.382;5.0;1.0;34.902;29.654;29.826;MEDIUM;5.0;Ferrari;3.0
156; 01:09:13.373;LEC;16; 00:01:34.244;6.0;1.0;34.737;29.696;29.811;MEDIUM;6.0;Ferrari;3.0
157; 01:11:18.204;LEC;16; 00:02:04.831;7.0;1.0;34.738;43.191;46.902;MEDIUM;7.0;Ferrari;3.0
158; 01:14:24.712;LEC;16; 00:01:36.082;8.0;2.0;72.351;57.248;56.807;HARD;1.0;Ferrari;5.0
159; 01:17:03.251;LEC;16; 00:01:36.082;9.0;2.0;56.449;49.562;52.637;HARD;2.0;Ferrari;5.0
160; 01:18:39.333;LEC;16; 00:01:36.082;10.0;2.0;36.458;29.741;29.883;HARD;3.0;Ferrari;5.0
161; 01:20:13.776;LEC;16; 00:01:34.443;11.0;2.0;35.345;29.571;29.527;HARD;4.0;Ferrari;5.0
162; 01:21:47.375;LEC;16; 00:01:33.599;12.0;2.0;34.732;29.576;29.291;HARD;5.0;Ferrari;5.0
163; 01:23:22.002;LEC;16; 00:01:34.627;13.0;2.0;35.443;29.747;29.437;HARD;6.0;Ferrari;5.0
164; 01:24:56.041;LEC;16; 00:01:34.039;14.0;2.0;35.106;29.602;29.331;HARD;7.0;Ferrari;5.0
165; 01:26:30.266;LEC;16; 00:01:34.225;15.0;2.0;34.869;29.647;29.709;HARD;8.0;Ferrari;4.0
166; 01:28:04.299;LEC;16; 00:01:34.033;16.0;2.0;34.623;29.653;29.757;HARD;9.0;Ferrari;4.0
167; 01:29:38.372;LEC;16; 00:01:34.073;17.0;2.0;34.602;29.638;29.833;HARD;10.0;Ferrari;4.0
